2019-06-28 20:53:16,229 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,199 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - About to instantiate appender of type [ch.qos.logback.core.ConsoleAppender]
2019-06-28 20:53:16,229 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,200 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - Naming appender as [CONSOLE]
2019-06-28 20:53:16,229 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,202 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.apache.nifi] to INFO
2019-06-28 20:53:16,229 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,202 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2a18f23c - Propagating INFO level on Logger[org.apache.nifi] onto the JUL framework
2019-06-28 20:53:16,230 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,203 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.apache.nifi.processors] to WARN
2019-06-28 20:53:16,230 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,203 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2a18f23c - Propagating WARN level on Logger[org.apache.nifi.processors] onto the JUL framework
2019-06-28 20:53:16,230 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,203 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.apache.nifi.processors.standard.LogAttribute] to INFO
2019-06-28 20:53:16,230 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,203 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2a18f23c - Propagating INFO level on Logger[org.apache.nifi.processors.standard.LogAttribute] onto the JUL framework
2019-06-28 20:53:16,230 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,203 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.apache.nifi.processors.standard.LogMessage] to INFO
2019-06-28 20:53:16,230 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,203 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2a18f23c - Propagating INFO level on Logger[org.apache.nifi.processors.standard.LogMessage] onto the JUL framework
2019-06-28 20:53:16,230 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,203 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.apache.nifi.controller.repository.StandardProcessSession] to WARN
2019-06-28 20:53:16,230 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,203 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2a18f23c - Propagating WARN level on Logger[org.apache.nifi.controller.repository.StandardProcessSession] onto the JUL framework
2019-06-28 20:53:16,230 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,203 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.apache.zookeeper.ClientCnxn] to ERROR
