CODE_PAYS;CODE_MARQUE;CODE_CLIENT_ORDER;NOM_CLIENT_ORDER;VIN;CODE_CANAL_VN;L_CANAL;Type_LLD;F2MLInformation;NUM_IMMATRICULATION;GENRE;REF_VERSION;L_MODELE;L_VERSION_VEH;KM_ENTREE_PHYSIQUE;DATE_MEC_CLEAN;PRIX_VENTEVO_HT;PRIX_VENTEVO_TTC;HAB_EXT;LIBELLE_COULEUR;EMPTY_COLUMN
FR;AP;631517R;OXYLIO AUTOMOBILES SARL;VF3LBBHZ3GS107491;F250;F2ML;;;ED-694-CJ;VU;PEUGEOT;308;308 affaire 5P Premium Pack 1,6L BlueHDi 120 S&S BVM6;61731;16/06/2016 00:00;7950;9540;P0WP;BLANC BANQUISE;
FR;AP;631579N;ACHATS GROUPE PELLEAU;VF30ARHE8ES020922;F250;F2ML;;;DC-407-QY;VP;PEUGEOT;5008;5008 Business Pack 2,0L 150ch BVM6;96036;30/01/2014 00:00;8250;9900;M0F4;KCA  GRIS ARTENSE;
FR;AP;631579N;ACHATS GROUPE PELLEAU;VF30U9HD8ES034841;F250;F2ML;;;DD-083-FF;VP;PEUGEOT;3008;3008 F�line 1,6L e-HDi 115ch ETG6;94739;19/02/2014 00:00;6850;8220;M09V;NOIR PERLA NERA;
FR;AP;631579N;ACHATS GROUPE PELLEAU;VF30U9HD8FS031244;F250;F2ML;;;DP-451-RR;VP;PEUGEOT;3008;3008 Business Pack 1,6L e-HDi 115 ETG6;97349;25/03/2015 00:00;7400;8880;M09P;GRIS SHARK;
FR;AP;631579N;ACHATS GROUPE PELLEAU;VF30URHHAES270381;F250;F2ML;;;DL-049-ZL;VP;PEUGEOT;3008;3008 Allure 2,0L HDi 160ch BVA6;100918;24/11/2014 00:00;8350;10020;M09V;NOIR PERLA NERA;
FR;AP;630270K;VP AUTO;VF37B9HF0FJ663963;F795;F2ML;;;DT-009-WW;VU;PEUGEOT;Partner;Nouv Partner Pack Clim Nav 120 L1 1,6L HDi 90 BVM5;80126;05/08/2015 00:00;6166,67;7400;P0WP;BLANC BANQUISE;
FR;AP;186309J;STE THIERS AUTOMOBILE;VF37B9HF0GJ726567;F250;F2ML;;;EE-442-GK;VU;PEUGEOT;Partner;Partner Pack Clim Nav 120 L1 1,6L HDi 90 BVM5;32257;28/07/2016 00:00;9150;10980;P0WP;BLANC BANQUISE;
FR;AP;177213U;CLARA AUTOMOBILES (Le Mans);VF37B9HF8FJ723311;F250;F2ML;;;DT-491-GN;VU;PEUGEOT;Partner;Nouv Partner Pack Clim Nav 120 L1 1,6L e-HDi 90 ETG6;106466;15/07/2015 00:00;6550;7860;P0WP;BLANC BANQUISE;
FR;AP;142103J;GARAGE CHAMPION SAS;VF37B9HN0GJ708953;F250;F2ML;;;ED-259-MW;VU;PEUGEOT;Partner;Partner Pack Clim Nav 120 L1 1,6L HDi 75 BVM5;96617;29/06/2016 00:00;5950;7140;P0WP;BLANC BANQUISE;
FR;AP;631579N;ACHATS GROUPE PELLEAU;VF37SBHY6FJ877798;F250;F2ML;;;DZ-899-EP;VP;PEUGEOT;Partner Tepee;Partner Tepee Active 1,6L BlueHDi 100 BVM5;17772;27/01/2016 00:00;10400;12480;P0WP;BLANC BANQUISE;
FR;AP;631579N;ACHATS GROUPE PELLEAU;VF38E9HD8DL051214;F250;F2ML;;;CZ-461-WR;VP;PEUGEOT;508 SW;508 SW Business Pack 1,6L e-HDi 115ch ETG6;127624;05/11/2013 00:00;5350;6420;P0WP;BLANC BANQUISE;
FR;AP;631579N;ACHATS GROUPE PELLEAU;VF38UAHWTFL016189;F250;F2ML;;;DR-589-CQ;VP;PEUGEOT;508 RXH;508 RXH 2,0L BlueHDi 180 S&S EAT6;117722;28/04/2015 00:00;12500;15000;M6N9;BLANC NACRE;
FR;AP;631579N;ACHATS GROUPE PELLEAU;VF38UAHWTFL018983;F250;F2ML;;;DR-904-NZ;VP;PEUGEOT;508 RXH;508 RXH 2,0L BlueHDi 180 S&S EAT6;106934;19/05/2014 00:00;11600;13920;M0F4;KCA  GRIS ARTENSE;
FR;AP;631579N;ACHATS GROUPE PELLEAU;VF38UAHWTFL028269;F250;F2ML;;;DS-850-VL;VP;PEUGEOT;508 RXH;508 RXH 2,0L BlueHDi 180 S&S EAT6;92637;26/06/2015 00:00;13600;16320;M0F4;KCA  GRIS ARTENSE;
FR;AP;631579N;ACHATS GROUPE PELLEAU;VF38UAHWTFL037175;F250;F2ML;;;DW-061-XQ;VP;PEUGEOT;508 RXH;508 RXH 2,0L BlueHDi 180 S&S EAT6;100752;28/10/2015 00:00;12600;15120;M0EH;GRIS HARIA 2;
FR;AP;631579N;ACHATS GROUPE PELLEAU;VF38URHC8EL038101;F250;F2ML;;;DS-653-VL;VP;PEUGEOT;508 RXH;Nlle 508 RXH 2,0L HDi 163 ETG6 + moteur �lectrique;108542;26/06/2015 00:00;11400;13680;M09V;NOIR PERLA NERA;
